title,open_date,movie_link,poster_link
Women Talking,"Opened Jan 20, 2023",/m/women_talking,https://resizing.flixster.com/gCVwVdEHVe2Xt3QbDbApgmfEkQs=/180x258/v2/https://resizing.flixster.com/YK7EnYmnlr7njPaqZ_x-mdAI86A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FmZDQxZTlhLTYyN2ItNDc5ZS04NjEzLWU2NmY3Y2JkNTkwMi5qcGc=
Hidden Blade,"Opened Feb 17, 2023",/m/hidden_blade_2023,https://resizing.flixster.com/KVHkPdQ5IkAtSGKG8H1fJB2rKu4=/180x258/v2/https://resizing.flixster.com/t3XE1dXtCSQKNvr-ng9UAZUKWYw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM1MzEwNmZiLWQwMTUtNDA2ZS04ZTdhLWY5MTA0NTg1YmM2Ny5qcGc=
Plane,"Opened Jan 13, 2023",/m/plane,https://resizing.flixster.com/ciLKBI0yEQsSO3yDx7tVT-pMvLE=/180x258/v2/https://resizing.flixster.com/96gGzEOuV_fOYF8NKCANgRXH3SI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUzN2ViMzg3LWNjNGUtNDFjZC1hMzZiLTgyYWEwOWIzZTdlZi5qcGc=
Bunker,"Opened Feb 24, 2023",/m/bunker_2022,https://resizing.flixster.com/oSidwOXh4_1nIuHQfI3q7u-vxMM=/180x258/v2/https://resizing.flixster.com/fWrEUS4VwHd4A5p5srlykuB5F5A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc0N2Q5NWYzLTAwZWQtNGU0NS04MDc0LTFhMTBlYjk3NTk5OS5qcGc=
The Quiet Girl,"Opened Dec 16, 2022",/m/the_quiet_girl,https://resizing.flixster.com/sjXDUMA9vwKNpbiRzan0WRNnxF8=/180x258/v2/https://resizing.flixster.com/_6p5XUDwq1MBH_OZtlIdfO60RXM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FkODdlMTZmLTMzZjYtNDg2NC1iN2U1LTgyYTkwNGEwZDJmMC5qcGc=
Black Panther: Wakanda Forever,"Opened Nov 11, 2022",/m/black_panther_wakanda_forever,https://resizing.flixster.com/q-cbmseXvttzhL3h69gYmh55BQE=/180x258/v2/https://resizing.flixster.com/QJkeIM6LIvwmRGiLKrNBcpZIk8M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzAwYzExZjlmLWJlODQtNDY4Mi1iNDhkLWU2YWNmMGIyMDgwMi5qcGc=
Of an Age,"Opened Feb 17, 2023",/m/of_an_age,https://resizing.flixster.com/nOZVsau7Dw105XoBcBt-sy1hc74=/180x258/v2/https://resizing.flixster.com/eLXac3RZa_zSEY_tLxgNrXPaVZM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRjNDNkNjIxLTliYmMtNGZkNy1iNTVmLWRkZjQxY2Y0MmQ4YS5qcGc=
Return to Seoul,"Opened Dec 02, 2022",/m/return_to_seoul,https://resizing.flixster.com/HxtNKABhUB2Ei19DujBglv4oZeM=/180x258/v2/https://resizing.flixster.com/jZNL2qncn2kr9JQMA1-L76K98cw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y2ODA0MGRhLWZhNWItNDIwYy05MzY3LTczZjVmMDcyMzM0Ni5qcGc=
The Wandering Earth II,"Opened Jan 22, 2023",/m/the_wandering_earth_ii,https://resizing.flixster.com/zlD4un1lyZKfobQtJx_fIUzXa2I=/180x258/v2/https://resizing.flixster.com/4Amw5DarTewVaEaEG_JfHixVsWc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdhYzU3MzNkLWM3ZGEtNGI2Ny05YWJhLWZjMTI1NGZjZTljMC5qcGc=
The Fabelmans,"Opened Nov 23, 2022",/m/the_fabelmans,https://resizing.flixster.com/c0UaF5wT35zDl_bCLSI6nAcvSus=/180x258/v2/https://resizing.flixster.com/sHWlKXB2LojbyFEGXuLICWYopdI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA3Y2Y3MTk3LWZkMWUtNGNjNS04YzY0LWI0YjNlNDNmYTRhNC5qcGc=
